keyword,keyword_original,source,language,country,volume,difficulty,cpc,position,serp_features,traffic_potential,clicks,impressions,ctr,intent_query_type,intent_funnel_stage,intent_modality,intent_temporal,cluster_head,cluster_size,aio_eligibility,geo_opportunity,quick_win_flag,striking_distance_flag,branded_flag,question_flag,paa_flag,seasonality_class,long_tail_flag,score_main,score_quick_win,score_strategic,score_aeo_defensive,confidence_main,confidence_quick_win,confidence_strategic,confidence_aeo_defensive,recommended_action_class,source_file,source_row
example shoes coupon code,example shoes coupon code,ahrefs,en,US,2900,18,0.85,1,,1850,,,,transactional,decision,typed,evergreen,example shoes coupon code,6,not_eligible,neither,,,yes,,,evergreen,mid,79.2,0.0,67.0,39.9,0.56,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,27
running shoes,running shoes,ahrefs,en,US,158000,68,1.92,3,"featured_snippet,paa,ai_overview,shopping",19200,,,,transactional,decision,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,head,77.0,0.0,68.2,37.0,0.634,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,2
how to clean running shoes,how to clean running shoes,ahrefs,en,US,5400,18,0.55,5,"featured_snippet,paa,ai_overview",980,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,top_page_climb,,yes,yes,evergreen,long_tail_classical,76.1,0.0,67.1,38.5,0.899,0.0,0.8,0.8,update,assets\samples_followup\ahrefs_export.csv,22
best running shoes,best running shoes,ahrefs,en,US,87000,65,2.55,5,"paa,ai_overview",6450,,,,commercial_investigation,consideration,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,mid,75.8,0.0,70.3,40.9,0.781,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,3
nike running shoes,nike running shoes,semrush,en,US,74000,67,2.15,4,"shopping,knowledge_panel",4200,,,,transactional,decision,typed,evergreen,nike running shoes,4,not_eligible,neither,,top_page_climb,,,,evergreen,mid,75.3,0.0,67.8,21.7,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,14
running shoes review,running shoes review,semrush,en,US,12100,45,1.35,4,"ai_overview,paa",1280,,,,commercial_investigation,consideration,typed,evergreen,running shoes,67,confirmed,aio_only,,top_page_climb,,,yes,evergreen,mid,75.3,0.0,68.8,39.2,0.781,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,23
best running shoes,best running shoes,semrush,en,US,90500,68,2.45,5,"paa,ai_overview",6200,,,,commercial_investigation,consideration,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,mid,75.2,0.0,70.0,40.9,0.781,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,3
running shoes for flat feet,running shoes for flat feet,semrush,en,US,12100,38,1.55,3,paa,1850,,,,informational,awareness,typed,evergreen,running shoes for flat feet,5,possibly_eligible,neither,,,,,yes,evergreen,long_tail_classical,75.1,0.0,66.5,30.2,0.612,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,4
how often should i replace running shoes,how often should i replace running shoes,semrush,en,US,4400,22,0.95,4,"featured_snippet,paa,ai_overview",680,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,yes,top_page_climb,,yes,yes,evergreen,long_tail_classical,75.0,73.1,68.4,42.3,0.93,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,31
how to wash running shoes,how to wash running shoes,ahrefs,en,US,3600,16,0.45,6,"featured_snippet,paa",680,,,,informational,awareness,typed,evergreen,running shoes,67,eligible,aio_only,yes,top_page_climb,,yes,yes,evergreen,long_tail_classical,74.9,73.0,66.6,35.9,0.899,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,23
adidas running shoes,adidas running shoes,semrush,en,US,49500,62,1.95,6,"shopping,knowledge_panel",2100,,,,transactional,decision,typed,evergreen,adidas running shoes,3,not_eligible,neither,,top_page_climb,,,,evergreen,mid,74.4,0.0,67.6,21.4,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,15
running shoes for men,running shoes for men,semrush,en,US,40500,53,1.85,11,shopping,950,,,,transactional,decision,typed,evergreen,running shoes,67,not_eligible,neither,,second_page_break,,,,evergreen,mid,74.0,0.0,68.1,21.2,0.612,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,6
running shoes vs walking shoes,running shoes vs walking shoes,semrush,en,US,2400,35,0.85,3,"paa,ai_overview",720,,,,commercial_investigation,consideration,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,long_tail_classical,73.9,0.0,69.0,41.8,0.781,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,13
running shoes width chart,running shoes width chart,ahrefs,en,US,1300,12,0.55,4,featured_snippet,680,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,top_page_climb,,,,evergreen,mid,73.8,73.5,65.3,26.7,0.634,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,10
