keyword,volume,difficulty,cpc,position
running shoes for ultramarathon training,580,28,1.45,
running shoes for backpacking,290,22,0.95,
running shoes for hiking,3600,38,1.25,
running shoes for treadmill workouts,820,24,0.85,
running shoes that last long,2400,32,1.15,
durable running shoes,3200,35,1.25,
waterproof running shoes,4400,42,1.55,
breathable running shoes,2900,38,1.35,
lightweight running shoes,5400,45,1.65,
cushioned running shoes,8100,48,1.85,
stability running shoes,4400,42,1.55,
neutral running shoes,3600,40,1.45,
motion control running shoes,2100,38,1.35,
running shoes pronation guide,1300,28,0.95,
running shoes gait analysis,820,22,0.75,
running shoes fitting tips,1900,28,0.85,
running shoes break in period,1200,22,0.75,
running shoes when to replace tips,890,18,0.65,
running shoes lifespan,2400,28,0.95,
running shoes mileage,1900,25,0.85,
running shoes wear pattern analysis,580,20,0.65,
running shoes drop explained,1300,22,0.75,
running shoes stack height,820,20,0.65,
