Keyword,Volume,KD,CPC,Current position,SERP features,Traffic potential (TP),Intents,Country,Parent topic,Top URL,DR
running shoes,158000,68,1.92,3,"Featured snippet, People also ask, AI Overview, Shopping",19200,"Commercial, Transactional",US,running shoes,https://www.example-shoes.com/running,72
best running shoes,87000,65,2.55,5,"People also ask, AI Overview",6450,Commercial,US,running shoes,https://competitor1.com/best-running-shoes,78
running shoes for flat feet,11500,35,1.62,12,"People also ask",495,Commercial,US,running shoes for flat feet,https://competitor2.com/flat-feet-running-shoes,65
trail running shoes,32000,55,1.52,9,"Shopping, AI Overview",920,Commercial,US,trail running shoes,,
best running shoes for marathon training under 200,290,18,1.45,,,52,"Commercial, Informational",US,marathon training,,
running shoes that don t cause blisters,1200,22,0.85,,"People also ask",185,Informational,US,running shoes,,
how to break in new running shoes,1900,15,0.65,8,"Featured snippet, People also ask",420,Informational,US,running shoes,,
when should i replace my running shoes,2400,20,0.85,7,"Featured snippet, People also ask, AI Overview",480,Informational,US,running shoes,,
running shoes width chart,1300,12,0.55,4,"Featured snippet",680,Informational,US,running shoes,,
running shoes width comparison,720,18,0.65,11,"People also ask",95,Informational,US,running shoes,,
zero drop running shoes,8100,42,1.45,14,"People also ask",240,Commercial,US,zero drop running shoes,,
maximalist running shoes,1900,38,1.25,18,"People also ask",65,Commercial,US,maximalist running shoes,,
minimalist running shoes,4400,40,1.35,16,"People also ask",125,Commercial,US,minimalist running shoes,,
running shoes with wide toe box,3600,32,1.15,13,"People also ask",165,Commercial,US,running shoes,,
running shoes with arch support,5400,35,1.25,15,"People also ask",185,Commercial,US,running shoes,,
running shoes for treadmill,2900,28,0.95,12,"People also ask",195,Commercial,US,running shoes,,
running shoes for road,3600,38,1.45,15,"AI Overview",125,Commercial,US,running shoes,,
running shoes for trail,4400,42,1.55,14,"AI Overview",185,Commercial,US,running shoes,,
running shoes lacing techniques,1300,15,0.45,6,"Featured snippet, People also ask",290,Informational,US,running shoes,,
running shoes drying methods,720,12,0.35,9,"People also ask",95,Informational,US,running shoes,,
how to clean running shoes,5400,18,0.55,5,"Featured snippet, People also ask, AI Overview",980,Informational,US,running shoes,,
how to wash running shoes,3600,16,0.45,6,"Featured snippet, People also ask",680,Informational,US,running shoes,,
running shoes outsole replacement,290,8,0.25,3,"Featured snippet",180,Informational,US,running shoes,,
running shoes anatomy,480,14,0.45,7,"Featured snippet, People also ask",195,Informational,US,running shoes,,
midsole running shoes explained,210,10,0.35,5,"Featured snippet",95,Informational,US,running shoes,,
example shoes coupon code,2900,18,0.85,1,,1850,Transactional,US,example brand,,
example shoes affiliate program,720,8,0.25,2,,380,Navigational,US,example brand,,
example shoes customer service,1300,12,0.35,1,,820,Navigational,US,example brand,,
