Keyword,Monthly Volume,Difficulty,Organic CTR,Priority,SERP Features,Country
running shoes,170000,68,42,68,"Featured Snippet, PAA, AI Overview, Shopping",US
running shoes for women,52000,52,38,55,"Shopping, AI Overview",US
running shoes for men,42000,50,40,52,"Shopping",US
trail running shoes,35000,55,45,58,"Shopping, AI Overview",US
best running shoes,85000,65,32,62,"PAA, AI Overview",US
running shoes for marathon,3200,42,48,38,"PAA",US
running shoes for trail running,2800,45,52,40,"AI Overview",US
hoka running shoes,38000,58,35,52,"Shopping, AI Overview",US
nike running shoes,72000,65,38,60,"Shopping, Knowledge Panel",US
adidas running shoes,48000,60,42,55,"Shopping, Knowledge Panel",US
asics running shoes,28000,55,40,50,"Shopping",US
brooks running shoes,32000,52,42,52,"Shopping",US
new balance running shoes,38000,55,40,55,"Shopping",US
saucony running shoes,18000,50,45,48,"Shopping",US
running shoes for plantar fasciitis,9500,42,52,48,"PAA, AI Overview",US
running shoes for overpronation,5200,38,55,45,"PAA",US
running shoes for supination,3800,32,58,42,"PAA",US
running shoes review 2026,5400,45,42,45,"AI Overview, PAA",US
best running shoes for beginners,8200,38,45,48,"PAA, AI Overview",US
running shoes for daily training,2400,35,52,40,"AI Overview",US
running shoes for racing,2100,40,48,38,"AI Overview",US
running shoes for tempo runs,820,28,55,32,"PAA",US
running shoes for long runs,1900,32,52,38,"PAA",US
running shoes for recovery runs,1300,30,52,35,"PAA",US
