Keyword,Volume,Keyword Difficulty,CPC,Position,SERP Features by Keyword,Country
migliori scarpe da running 2026,8100,58,1.30,6,"People Also Ask, AI Overview",IT
prezzo scarpe nike pegasus,2400,45,1.50,4,"Shopping, AI Overview",IT
come scegliere le scarpe da trail,3200,40,0.80,12,"Featured Snippet, People Also Ask, AI Overview",IT
recensioni scarpe brooks ghost,1900,42,0.90,8,People Also Ask,IT
comprare scarpe running online,1600,50,1.70,9,Shopping,IT
scarpe da corsa per principianti,2700,38,0.75,15,People Also Ask,IT
offerte scarpe asics gel,1300,48,1.40,7,Shopping,IT
differenza tra scarpe a3 e a4,880,30,0.55,18,"Featured Snippet, People Also Ask",IT
dove comprare scarpe minimaliste,720,44,1.10,11,Shopping,IT
scarpe running uomo,5400,52,1.05,5,Shopping,IT
confronto hoka vs brooks,1100,46,1.20,10,People Also Ask,IT
guida alle scarpe da maratona,1500,36,0.70,14,"Featured Snippet, AI Overview",IT
accedi area clienti runner shop,390,20,0.40,2,,IT
quanto costano le scarpe da gara,640,33,0.85,16,People Also Ask,IT
