Keyword,Volume,SEO Difficulty,CPC,Paid Difficulty
running shoes,168000,72,1.88,68
running shoes guide,1900,28,0.85,32
running shoes tips,1200,22,0.65,28
running shoes recommendations,2400,32,1.05,38
what running shoes should i buy,2900,35,1.25,42
running shoes for new runners,3600,32,1.15,40
running shoes for experienced runners,1300,30,1.05,38
running shoes for casual runners,1900,28,0.95,35
running shoes brand comparison,2100,38,1.45,45
running shoes brand guide,1300,32,1.15,38
running shoes color options,820,22,0.75,28
running shoes laces types,580,18,0.55,22
running shoes maintenance guide,720,20,0.65,25
running shoes storage tips,290,15,0.45,18
running shoes warranty information,420,18,0.55,22
running shoes return policy,1300,22,0.85,28
running shoes shipping options,580,18,0.55,22
running shoes affordable options,2400,38,1.25,45
running shoes premium options,1900,42,1.65,48
running shoes mid range options,1300,32,0.95,38
example shoes contact,820,12,0.35,15
example shoes hours,580,10,0.25,12
example shoes location,720,15,0.45,18
example shoes near me,2900,32,1.25,42
