Keyword,Volume,Keyword Difficulty,CPC,Position,SERP Features by Keyword,Traffic,Intent,Country,Parent Topic,URL
running shoes,165000,72,1.85,3,"Featured Snippet, People Also Ask, AI Overview, Shopping",18500,Commercial,US,running shoes,https://www.example-shoes.com/running
best running shoes,90500,68,2.45,5,"People Also Ask, AI Overview",6200,Commercial,US,running shoes,https://competitor1.com/best-running-shoes
running shoes for flat feet,12100,38,1.55,12,"People Also Ask",480,Commercial,US,running shoes for flat feet,https://competitor2.com/flat-feet-running-shoes
running shoes for women,49500,55,1.95,8,"Shopping, AI Overview",1850,Commercial,US,running shoes,https://www.example-shoes.com/women-running
running shoes for men,40500,53,1.85,11,"Shopping",950,Commercial,US,running shoes,https://www.example-shoes.com/men-running
running shoes for marathon training,2900,42,1.65,18,"People Also Ask",85,Commercial,US,marathon running,
marathon running shoes,8100,48,1.75,15,"People Also Ask, Featured Snippet",240,Commercial,US,marathon running,
trail running shoes,33100,58,1.45,9,"Shopping, AI Overview",890,Commercial,US,trail running shoes,
best trail running shoes 2026,4400,52,1.65,22,,68,Commercial,US,trail running shoes,
how to choose running shoes,5400,28,0.95,7,"Featured Snippet, People Also Ask, AI Overview",520,Informational,US,running shoes,
what is the best running shoe for beginners,1900,32,1.05,14,"People Also Ask, AI Overview",95,Informational,US,running shoes,
running shoes vs walking shoes,2400,35,0.85,10,"People Also Ask, AI Overview",195,Commercial,US,running shoes,
nike running shoes,74000,67,2.15,4,"Shopping, Knowledge Panel",4200,Commercial,US,nike running,
adidas running shoes,49500,62,1.95,6,"Shopping, Knowledge Panel",2100,Commercial,US,adidas running,
brooks running shoes,33100,55,1.85,13,"Shopping",480,Commercial,US,brooks running,
hoka running shoes,40500,58,2.05,11,"Shopping, AI Overview",950,Commercial,US,hoka running,
asics running shoes,27100,57,1.85,9,"Shopping",640,Commercial,US,asics running,
running shoes near me,18100,45,1.25,15,"Local Pack, Shopping",240,Transactional,US,running shoes,
buy running shoes online,8100,48,2.85,18,"Shopping",125,Transactional,US,running shoes,
cheap running shoes,22200,52,1.65,12,"Shopping",480,Transactional,US,running shoes,
running shoes sale,18100,50,1.95,14,"Shopping",380,Transactional,US,running shoes,
running shoes review,12100,45,1.35,8,"AI Overview, People Also Ask",640,Commercial,US,running shoes,
nike pegasus 41 review,8100,42,1.55,20,"AI Overview",95,Commercial,US,nike pegasus,
hoka clifton 10 review,4400,38,1.65,16,"AI Overview",125,Commercial,US,hoka clifton,
brooks ghost 16 review,3600,40,1.45,18,"People Also Ask",85,Commercial,US,brooks ghost,
running shoes for plantar fasciitis,9900,42,1.85,14,"People Also Ask, AI Overview",380,Commercial,US,running shoes for plantar fasciitis,
running shoes for overpronation,5400,38,1.65,17,"People Also Ask",125,Commercial,US,running shoes for overpronation,
running shoes for high arches,3600,35,1.45,19,"People Also Ask",65,Commercial,US,running shoes for high arches,
why do running shoes wear out,1300,18,0.55,5,"Featured Snippet, People Also Ask, AI Overview",290,Informational,US,running shoes,
how often should i replace running shoes,4400,22,0.95,4,"Featured Snippet, People Also Ask, AI Overview",680,Informational,US,running shoes,
running shoes 2026,8100,45,1.25,11,"AI Overview",240,Commercial,US,running shoes,
black friday running shoes,6600,55,1.85,25,"Shopping",45,Transactional,US,running shoes,
christmas gift running shoes,2400,42,1.55,28,"Shopping",18,Commercial,US,running shoes,
example shoes login,1900,15,0.45,1,,820,Navigational,US,example brand,
example shoes returns,880,12,0.35,1,,420,Navigational,US,example brand,
