Top queries,Clicks,Impressions,CTR,Position
running shoes,2840,42500,6.7%,3.2
best running shoes,820,15200,5.4%,5.1
example shoes login,3450,3680,93.7%,1.0
running shoes review,420,8200,5.1%,8.4
running shoes for women,180,4800,3.8%,8.2
running shoes for men,95,3200,3.0%,11.4
trail running shoes,310,5400,5.7%,9.1
nike running shoes,150,4200,3.6%,4.5
running shoes for flat feet,45,1800,2.5%,12.8
running shoes for plantar fasciitis,68,2200,3.1%,14.2
running shoes near me,480,3800,12.6%,15.4
buy running shoes online,210,1500,14.0%,18.2
how to choose running shoes,180,3400,5.3%,7.5
how often should i replace running shoes,310,4800,6.5%,4.2
running shoes vs walking shoes,95,1850,5.1%,10.5
example shoes returns,1420,1580,89.9%,1.0
example shoes shipping,820,920,89.1%,1.0
example shoes warranty,580,680,85.3%,1.0
example shoes size chart,1850,2400,77.1%,1.5
example shoes coupon code,2100,2350,89.4%,1.0
running shoes 2026,180,4800,3.8%,11.2
running shoes black friday,120,2400,5.0%,25.0
running shoes christmas sale,45,920,4.9%,28.4
trail running shoes review,80,2100,3.8%,16.2
nike pegasus review,120,3400,3.5%,20.4
hoka clifton review,95,2800,3.4%,16.8
running shoes anatomy,210,3600,5.8%,7.2
how to clean running shoes,420,5400,7.8%,5.4
how to wash running shoes,280,3800,7.4%,6.2
running shoes with arch support,110,2400,4.6%,15.5
running shoes for marathon,180,3200,5.6%,12.8
running shoes for marathon training,68,1450,4.7%,18.4
running shoes for sprinting,45,920,4.9%,18.2
running shoes for ultramarathon,28,520,5.4%,14.6
example shoes vs nike,210,2800,7.5%,8.4
example shoes vs adidas,180,2400,7.5%,9.1
